X_position,Y_position,relYpos,relXpos,Position
"center at 5%","middle at 5%",0.05,0.05,TopLeft
"center at 5%","middle at 5%",0.05,0.05,TopLeft
"center at 5%","middle at 5%",0.05,0.05,TopLeft
"center at 5%","middle at 5%",0.05,0.05,TopLeft
"center at 5%","middle at 5%",0.05,0.05,TopLeft
"center at 5%","middle at 5%",0.05,0.05,TopLeft
"center at 5%","middle at 50%",0.50,0.05,CentreLeft
"center at 5%","middle at 50%",0.50,0.05,CentreLeft
"center at 5%","middle at 50%",0.50,0.05,CentreLeft
"center at 5%","middle at 50%",0.50,0.05,CentreLeft
"center at 5%","middle at 50%",0.50,0.05,CentreLeft
"center at 5%","middle at 50%",0.50,0.05,CentreLeft
"center at 5%","middle at 95%",0.95,0.05,BottomLeft
"center at 5%","middle at 95%",0.95,0.05,BottomLeft
"center at 5%","middle at 95%",0.95,0.05,BottomLeft
"center at 5%","middle at 95%",0.95,0.05,BottomLeft
"center at 5%","middle at 95%",0.95,0.05,BottomLeft
"center at 5%","middle at 95%",0.95,0.05,BottomLeft
"center at 25%","middle at 25%",0.25,0.25,TopLeftQuadrant
"center at 25%","middle at 25%",0.25,0.25,TopLeftQuadrant
"center at 25%","middle at 25%",0.25,0.25,TopLeftQuadrant
"center at 25%","middle at 25%",0.25,0.25,TopLeftQuadrant
"center at 25%","middle at 25%",0.25,0.25,TopLeftQuadrant
"center at 25%","middle at 25%",0.25,0.25,TopLeftQuadrant
"center at 25%","middle at 75%",0.75,0.25,BottomLeftQuadrant
"center at 25%","middle at 75%",0.75,0.25,BottomLeftQuadrant
"center at 25%","middle at 75%",0.75,0.25,BottomLeftQuadrant
"center at 25%","middle at 75%",0.75,0.25,BottomLeftQuadrant
"center at 25%","middle at 75%",0.75,0.25,BottomLeftQuadrant
"center at 25%","middle at 75%",0.75,0.25,BottomLeftQuadrant
"center at 50%","middle at 5%",0.05,0.50,TopCentre
"center at 50%","middle at 5%",0.05,0.50,TopCentre
"center at 50%","middle at 5%",0.05,0.50,TopCentre
"center at 50%","middle at 5%",0.05,0.50,TopCentre
"center at 50%","middle at 5%",0.05,0.50,TopCentre
"center at 50%","middle at 5%",0.05,0.50,TopCentre
"center at 50%","middle at 50%",0.50,0.50,CentreCentre
"center at 50%","middle at 50%",0.50,0.50,CentreCentre
"center at 50%","middle at 50%",0.50,0.50,CentreCentre
"center at 50%","middle at 50%",0.50,0.50,CentreCentre
"center at 50%","middle at 50%",0.50,0.50,CentreCentre
"center at 50%","middle at 50%",0.50,0.50,CentreCentre
"center at 50%","middle at 95%",0.95,0.50,BottomCentre
"center at 50%","middle at 95%",0.95,0.50,BottomCentre
"center at 50%","middle at 95%",0.95,0.50,BottomCentre
"center at 50%","middle at 95%",0.95,0.50,BottomCentre
"center at 50%","middle at 95%",0.95,0.50,BottomCentre
"center at 50%","middle at 95%",0.95,0.50,BottomCentre
"center at 75%","middle at 25%",0.25,0.75,TopRightQuadrant
"center at 75%","middle at 25%",0.25,0.75,TopRightQuadrant
"center at 75%","middle at 25%",0.25,0.75,TopRightQuadrant
"center at 75%","middle at 25%",0.25,0.75,TopRightQuadrant
"center at 75%","middle at 25%",0.25,0.75,TopRightQuadrant
"center at 75%","middle at 25%",0.25,0.75,TopRightQuadrant
"center at 75%","middle at 75%",0.75,0.75,BottomRightQuadrant
"center at 75%","middle at 75%",0.75,0.75,BottomRightQuadrant
"center at 75%","middle at 75%",0.75,0.75,BottomRightQuadrant
"center at 75%","middle at 75%",0.75,0.75,BottomRightQuadrant
"center at 75%","middle at 75%",0.75,0.75,BottomRightQuadrant
"center at 75%","middle at 75%",0.75,0.75,BottomRightQuadrant
"center at 95%","middle at 5%",0.05,0.95,TopRight
"center at 95%","middle at 5%",0.05,0.95,TopRight
"center at 95%","middle at 5%",0.05,0.95,TopRight
"center at 95%","middle at 5%",0.05,0.95,TopRight
"center at 95%","middle at 5%",0.05,0.95,TopRight
"center at 95%","middle at 5%",0.05,0.95,TopRight
"center at 95%","middle at 50%",0.50,0.95,CentreRight
"center at 95%","middle at 50%",0.50,0.95,CentreRight
"center at 95%","middle at 50%",0.50,0.95,CentreRight
"center at 95%","middle at 50%",0.50,0.95,CentreRight
"center at 95%","middle at 50%",0.50,0.95,CentreRight
"center at 95%","middle at 50%",0.50,0.95,CentreRight
"center at 95%","middle at 95%",0.95,0.95,BottomRight
"center at 95%","middle at 95%",0.95,0.95,BottomRight
"center at 95%","middle at 95%",0.95,0.95,BottomRight
"center at 95%","middle at 95%",0.95,0.95,BottomRight
"center at 95%","middle at 95%",0.95,0.95,BottomRight
"center at 95%","middle at 95%",0.95,0.95,BottomRight
