stimulustype,stimuluscondition,practice,pair,image1,image2,image3,image4,audio,verb,list
Experimental,Constraining,1,1,"cheese.jpg","mailbox.jpg","desk.jpg","bottle2.jpg","Sarah_engels_Mary_cuts_a_cheese_0.wav",cuts,listB
Experimental,Neutral,1,2,"letter.jpg","car.jpg","backpack.jpg","wheelchair.jpg","Sarah_engels_Mary_steals_a_letter_0.wav",steals,listB
Experimental,Neutral,1,3,"carrot.jpg","dress.jpg","napkin.jpg","ruler.jpg","Sarah_engels_Mary_grabs_a_carrot_0.wav",grabs,listB
Experimental,Constraining,1,4,"wall.jpg","lock.jpg","heel.jpg","shower1.jpg","Sarah_engels_Mary_climbs_a_wall_0.wav",climbs,listB
Experimental,Neutral,1,5,"potato.jpg","coat.jpg","flower.jpg","dog.jpg","Sarah_engels_Mary_buys_a_potato_0.wav",buys,listB
Experimental,Constraining,1,6,"church.jpg","skirt.jpg","sausage.jpg","belt.jpg","Sarah_engels_Mary_visits_a_church_0.wav",visits,listB
Experimental,Constraining,1,7,"window.jpg","horse.jpg","needle.jpg","spoon.jpg","Sarah_engels_Mary_closes_a_window_0.wav",closes,listB
Experimental,Neutral,1,8,"horse.jpg","letter.jpg","plate.jpg","sword.jpg","Sarah_engels_Mary_catches_a_horse_0.wav",catches,listB
Experimental,Constraining,1,9,"dress.jpg","bucket.jpg","candle.jpg","chest1.jpg","Sarah_engels_Mary_folds_a_dress_0.wav",folds,listB
Experimental,Neutral,1,10,"scarf.jpg","cheese.jpg","comb.jpg","barrel.jpg","Sarah_engels_Mary_loses_a_scarf_0.wav",loses,listB
Experimental,Constraining,1,11,"pencil.jpg","church.jpg","rope.jpg","tree.jpg","Sarah_engels_Mary_sharpens_a_pencil_0.wav",sharpens,listB
Experimental,Constraining,1,12,"fence.jpg","pencil.jpg","necklace.jpg","mirror.jpg","Sarah_engels_Mary_builds_a_fence_0.wav",builds,listB
Experimental,Neutral,1,13,"mailbox.jpg","window.jpg","roof.jpg","chair.jpg","Sarah_engels_Mary_paints_a_mailbox_0.wav",paints,listB
Experimental,Neutral,1,14,"skirt.jpg","wall.jpg","bicycle.jpg","kite.jpg","Sarah_engels_Mary_designs_a_skirt_0.wav",designs,listB
Experimental,Constraining,1,15,"car.jpg","potato.jpg","knife.jpg","shovel.jpg","Sarah_engels_Mary_drives_a_car_0.wav",drives,listB
Experimental,Neutral,1,16,"coat.jpg","fence.jpg","mountain.jpg","bridge.jpg","Sarah_engels_Mary_chooses_a_coat_0.wav",chooses,listB
Experimental,Constraining,1,17,"lock.jpg","carrot.jpg","wig.jpg","raft.jpg","Sarah_engels_Mary_opens_a_lock_0.wav",opens,listB
Experimental,Neutral,1,18,"bucket.jpg","scarf.jpg","key.jpg","whistle.jpg","Sarah_engels_Mary_throws_a_bucket_0.wav",throws,listB
Filler,NA,1,19,"pizza.jpg","pineapple.jpg","saddle.jpg","bathtub.jpg","Sarah_engels_Mary_writes_a_book_0.wav",writes,listB
Filler,NA,1,20,"present1.jpg","icecreamcone.jpg","sweater.jpg","cloud.jpg","Sarah_engels_Mary_sells_a_present_0.wav",sells,listB
Filler,NA,1,21,"cat.jpg","rabbit.jpg","donkey.jpg","corkscrew.jpg","Sarah_engels_Mary_strokes_a_cat_0.wav",strokes,listB
Filler,NA,1,22,"house.jpg","castle1.jpg","seal.jpg","watermelon.jpg","Sarah_engels_Mary_demolishes_a_house_0.wav",demolishes,listB
Filler,NA,1,23,"cake.jpg","bread.jpg","lion.jpg","picture.jpg","Sarah_engels_Mary_bakes_a_cake_0.wav",bakes,listB
Filler,NA,1,24,"doll.jpg","baby.jpg","girl.jpg","rock.jpg","Sarah_engels_Mary_drinks_a_coffee_0.wav",drinks,listB
Filler,NA,1,25,"stamp.jpg","leaf.jpg","table.jpg","train.jpg","Sarah_engels_Mary_vaccinates_a_cow_0.wav",vaccinates,listB
Filler,NA,1,26,"cigar.jpg","cigarette.jpg","pipe.jpg","cage.jpg","Sarah_engels_Mary_smokes_a_cigar_0.wav",smokes,listB
Filler,NA,1,27,"piano.jpg","lamp.jpg","chair1.jpg","hippo.jpg","Sarah_engels_Mary_roasts_a_turkey_0.wav",roasts,listB
Filler,NA,1,28,"lemon.jpg","tomato.jpg","file.jpg","magnet.jpg","Sarah_engels_Mary_rides_a_pony_0.wav",rides,listB
Filler,NA,1,29,"fishtank.jpg","needle2.jpg","cactus.jpg","volcano.jpg","Sarah_engels_Mary_orders_a_fishtank_0.wav",orders,listB
Filler,NA,1,30,"towel.jpg","tie.jpg","shirt.jpg","nest.jpg","Sarah_engels_Mary_washes_a_towel_0.wav",washes,listB
Filler,NA,1,31,"beard.jpg","sheep.jpg","toothbrush.jpg","umbrella.jpg","Sarah_engels_Mary_shaves_a_beard_0.wav",shaves,listB
Filler,NA,1,32,"cannon.jpg","gun2.jpg","trophy.jpg","city.jpg","Sarah_engels_Mary_polishes_a_cannon_0.wav",polishes,listB
Filler,NA,1,33,"dentist.jpg","cook.jpg","priest2.jpg","tail.jpg","Sarah_engels_Mary_meets_a_dentist_0.wav",meets,listB
Filler,NA,1,34,"snake.jpg","shark.jpg","rug.jpg","refrigerator.jpg","Sarah_engels_Mary_drills_a_hole_0.wav",drills,listB
Filler,NA,1,35,"cow.jpg","goat.jpg","turtle.jpg","rainbow.jpg","Sarah_engels_Mary_milks_a_cow_0.wav",milks,listB
Filler,NA,1,36,"finger.jpg","paw.jpg","shoulder.jpg","fountain.jpg","Sarah_engels_Mary_plants_a_seed_0.wav",plants,listB
